index_P,lesk_list
11,",,'season.n.03', 'significance.n.02', 'totaled.s.01', 'metric_ton.n.01', 'uranium.n.01', 'corn_whiskey.n.01', 'sum.n.02', 'metric_ton.n.01',,,"
12,"'department_of_agriculture.n.01', 'seek.n.01', 'remark.n.01', 'texture.n.05', 'rebate.n.01', 'schedule.v.02', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'try.v.01', 'public.s.02', 'remark.n.01', 'question.v.03', 'align.v.01', 'commodity.n.01', 'credit_rating.n.01', 'pot.n.07', 'three_hundred.s.01', 'rebate.n.01', 'premium.n.04', 'schedule.v.02', 'better.v.03', 'timbre.n.01', 'texture.n.05', 'accept.v.11', 'loanword.n.01', 'collateral.n.01', 'price.n.05', 'support.v.09', 'program.v.02','premium.n.04', 'rebate.n.01', 'schedule.v.02', 'establish.v.08', 'timbre.n.01', 'gene.n.01', 'moisture.n.01', 'message.n.02', 'kernel.n.02', 'wrong.n.02',,'department.n.03', 'suppose.v.01', 'potential.a.01', 'producer.n.02', 'promote.v.01', 'pitch.n.02', 'high.s.07', 'timbre.n.01', 'texture.n.05', 'three_hundred.s.01', 'align.v.01', 'premium.n.04', 'rebate.n.01','remark.n.01', 'due.n.02', 'april.n.01', 'reputation.n.03', 'sexual_intercourse.n.01', 'want.v.02', 'law.n.06', 'whitethorn.n.01',,"
13,",'official.s.05', 'note.v.04', 'agreement.n.06', 'signed.a.01', 'january.n.01', 'provide.v.06', 'supply.v.01', 'metric_ton.n.01', 'vegetable.n.02', 'vegetable_oil.n.01', 'metric_ton.n.01', 'corn_whiskey.n.01', 'metric_ton.n.01', 'pale_yellow.n.01', 'pitch.n.02', 'current.n.02', 'fiscal.a.01', 'year.n.03', 'ending.n.01', 'september.n.01','purchase.n.03', 'mandate.n.01', 'commodity.n.01', 'provide.v.06', 'january.n.01', 'agreement.n.06', 'announced.s.01', 'department.n.03',,"
14,"'japan.v.01', 'ministry.n.04', 'remark.n.01', 'rice.v.01', 'talk.n.03', 'reputation.n.03', 'agribusiness.n.01', 'ministry.n.04', 'worsen.v.01', 'remark.n.01', 'local_anesthetic.n.01', 'newspaper.n.03', 'reputation.n.03', 'japan.v.01', 'agree.v.02', 'keep.v.01', 'talk.n.03', 'conclude.v.04', 'rice.v.01', 'marketplace.n.02', 'newfangled.s.01', 'general_agreement_on_tariffs_and_trade.n.01', 'turn.n.09','theme.n.03', 'reputation.n.03', 'remark.n.01', 'spokesman.n.01', 'tell.v.03','japan.n.02', 'quote.v.01', 'nameless.s.01', 'government.n.03', 'source.n.07', 'suppose.v.01', 'japan.v.01', 'tell.v.03', 'uranium.n.01', 'agribusiness.n.01', 'secretary.n.04', 'uranium.n.01', 'trade.v.03', 'representative.n.01', 'intention.n.03','two.n.01', 'due.n.02', 'visit.v.07', 'japan.v.01', 'subsequently.r.01', 'month.n.02', 'farm.v.01', 'talk.n.03','uranium.n.01', 'pressing.n.02', 'japan.v.01', 'hash_out.v.01', 'rice.v.01', 'offspring.n.01', 'newfangled.s.01', 'turn.n.09', 'general.v.01', 'agreement.n.06', 'tariff.v.01', 'trade.v.03', 'talk.n.03','japan.v.01', 'suppose.v.01', 'general_agreement_on_tariffs_and_trade.n.01', 'right.s.08', 'forum.n.02','significance.n.02', 'rice.v.01', 'japan.v.01', 'banish.v.02', 'grocery.n.02', 'master.v.04', 'act.v.10',,'state.n.04', 'world.n.06', 'trade.v.03', 'soundbox.n.01', 'begin.v.10', 'uruguay.n.01', 'trade.v.03', 'turn.n.09', 'last.v.01', 'september.n.01','take.v.39', 'four-spot.n.01', 'year.n.03', 'negotiate.v.02',,"
15,",'hectare.n.01', 'pale_yellow.n.01', 'moved.a.01','paper.n.05', 'suppose.v.01', 'abnormal.a.01', 'weather.v.04', 'stipulate.v.01', 'promote.v.01', 'unfold.v.04', 'pale_yellow.n.01', 'midge.n.01', 'hectare.n.01', 'szechwan.n.01', 'hebei.n.01','hebei.n.01', 'pale_yellow.n.01', 'aphid.n.01', 'involve.v.01', 'hectare.n.01', 'pale_yellow.n.01', 'red.s.01', 'touch.n.06', 'hectare.n.01', 'pale_yellow.n.01', 'powdery.s.02', 'mildew.n.02', 'hectare.n.01',,"
16,"'food_and_agriculture_organization.n.01', 'visit.v.01', 'lower.v.01', 'ball-shaped.s.01', 'pale_yellow.n.01', 'texture.n.05', 'output.v.01', 'uranium.n.01', 'newton.n.02', 'food.n.02', 'agribusiness.n.01', 'organization.n.04', 'food_and_agriculture_organization.n.01', 'suppose.v.01', 'ball-shaped.s.01', 'pale_yellow.n.01', 'coarse.s.03', 'texture.n.05', 'output.v.01', 'likely.a.01', 'spill.n.04', 'supply.v.01', 'stay.v.04', 'adequate.a.01', 'meet.v.11', 'need.n.01','food_and_agriculture_organization.n.01', 'suppose.v.01', 'monthly.r.01', 'food.n.02', 'mentality.n.01', 'bulletin.n.01', 'sum.n.02', 'world.n.06', 'texture.n.05', 'output.v.01', 'expect.v.05', 'spill.n.04', 'metric_ton.n.01', 'due.n.02', 'chiefly.r.01', 'unusually.r.01', 'senior_high_school.n.01', 'winter.v.01', 'loss.n.06', 'soviet.n.01', 'union.n.11', 'drought.n.02', 'taiwan.n.01', 'reduce.v.15', 'planting.n.02', 'north.r.01', 'united_states.n.01','world.n.06', 'cereal.n.03', 'store.n.02', 'goal.n.01', 'prognosis.n.01', 'upgrade.n.04', 'metric_ton.n.01', 'record.v.01', 'metric_ton.n.01', 'demulcent.s.01', 'impact.n.02', 'reduce.v.15', 'production.n.06',,,'food_and_agriculture_organization.n.01', 'suppose.v.01', 'world.n.06', 'cereal.n.03', 'supply.v.01', 'estimate.v.01', 'record.v.01', 'metric_ton.n.01', 'five-spot.n.03', 'percentage.n.01', 'high.s.07', 'last.v.01', 'season.n.03', 'due.n.02', 'chiefly.r.01', 'large.r.01', 'store.n.02', 'record.v.01', 'harvest.v.02', 'estimate.v.01', 'metric_ton.n.01','food_and_agriculture_organization.n.01', 'prognosis.n.01', 'world.n.06', 'cereal.n.03', 'trade.v.03', 'revised.s.02', 'up.r.05', 'eight-spot.n.01', 'metric_ton.n.01', 'due.n.02', 'likelihood.n.01', 'substantial.s.02', 'buy.v.01', 'taiwan.n.01', 'soviet.n.01', 'union.n.11',,"
17,"'argentine.n.01', 'texture.n.05', 'oilseed.n.01', 'export.v.02', 'price.n.05', 'align.v.01', 'argentine.n.01', 'texture.n.05', 'display_panel.n.01', 'align.v.01', 'minimum.n.02', 'export.v.02', 'price.n.05', 'texture.n.05', 'oilseed.n.01', 'product.n.05', 'metric_ton.n.01', 'fob.n.03', 'previous.s.03', 'bracket.n.04', 'take_after.v.02', 'sorghum.n.03', 'coat.v.03', 'shot.n.02', 'meal.n.03', 'linseed.n.01', 'vegetable_oil.n.01', 'vegetable_oil.n.01', 'soy.n.04', 'vegetable_oil.n.01', 'rapeseed.n.01', 'vegetable_oil.n.01','vegetable_oil.n.01', 'cargo.n.01', 'whitethorn.n.01', 'june.n.01', 'ahead.r.03','display_panel.n.01', 'besides.r.02', 'align.v.01', 'export.v.02', 'price.n.05', 'export.v.02', 'taxis.n.02', 'recruit.v.03', 'metric_ton.n.01', 'fob.n.03', 'previous.s.03', 'bracket.n.04', 'take_after.v.02', 'bran.n.02', 'pollard.n.02', 'pale_yellow.n.01', 'shot.n.02',,"
18,",,,'sweetheart.n.01', 'pay_up.v.01', 'uranium.n.01', 'gulf.n.03', 'morocco.n.02', 'pay_up.v.01', 'long.r.01', 'tons.n.01', 'gulf.n.03', 'taiwan.n.01','vessel.n.03', 'transport.v.02', 'long.r.01', 'tons.n.01', 'bulge.v.02', 'pale_yellow.n.01', 'flour.n.01', 'gulf.n.03', 'al_aqabah.n.01', 'receive.v.10', 'hunk.n.02', 'union.n.08','texture.n.05', 'great.n.01', 'lake.n.02', 'algeria.n.01', 'take.v.27', 'pay_up.v.01', 'similar.s.04', 'repair.v.01', 'goal.n.01', 'master_of_architecture.n.01','marketplace.n.02', 'talk.n.03', 'suggest.v.03', 'federal.n.01', 'department_of_commerce.n.01', 'vessel.n.03', 'book.v.04', 'move.v.16', 'texture.n.05', 'great.n.01', 'lake.n.02', 'morocco.n.02', 'report.n.03', 'pay_up.v.01', 'cargo.n.01', 'oilseed.n.01', 'british.n.01', 'columbia_university.n.01', 'japan.v.01', 'confirmation.n.05', 'gettable.s.01','continent.n.02', 'shipper.n.02', 'agree.v.02', 'pale_yellow.n.01', 'louisiana.n.01', 'texture.n.05', 'gent.n.03', 'naples.n.01', 'venice.n.01', 'stove.n.01','elsewhere.r.01', 'gamboge.n.02', 'east.n.05', 'london.n.02', 'japan.v.01', 'pay_up.v.01','soviet.n.01', 'reappear.v.01', 'sector.n.05', 'plug.v.01', 'atlantic.n.01', 'turn.n.09', 'tripper.n.04', 'daily.r.01', 'antwerpen.n.01', 'hamburg.n.01', 'similar.s.04', 'voyage.n.02', 'daily.r.01',,"
19,"'india.n.01', 'target.v.01', 'metric_ton.n.01', 'india.n.01', 'national.n.01', 'target.v.01', 'repair.v.01', 'metric_ton.n.01', 'april.n.01', 'blemish.n.01', 'unchanged.a.01', 'target.v.01', 'agribusiness.n.01', 'ministry.n.04', 'suppose.v.01', 'annual.n.02', 'reputation.n.03','actual.s.05', 'output.v.01', 'estimate.v.01', 'metric_ton.n.01', 'due.n.02', 'failure.n.04', 'monsoon.n.01', 'rain.v.01', 'substitute.v.02', 'part.n.09', 'state.n.04','reputation.n.03', 'give.v.43', 'target.v.01', 'versatile.s.01', 'crop.v.05', 'estimate.v.01', 'harvest.v.02', 'crop.v.05', 'bracket.n.04', 'take_after.v.02', 'metric_ton.n.01', 'rice.v.01', 'pale_yellow.n.01', 'coarse.s.03', 'texture.n.05', 'include.v.03', 'sorghum.n.03', 'millet.n.03', 'pulse.n.03',,'strategy.n.02', 'increasing.a.02', 'irrigation.n.02', 'electric_potential.n.01', 'along.r.05', 'greater.a.01', 'use.v.01', 'senior_high_school.n.01', 'giving_up.n.01', 'seeded_player.n.01', 'improvement.n.03', 'fertilizer.n.01', 'efficiency.n.02', 'giving_up.n.01', 'solution.n.02', 'suppose.v.01', 'lend.v.01', 'sum.n.02', 'output.v.01', 'respectively.r.01', 'metric_ton.n.01', 'record.v.01','india.n.01', 'target.v.01', 'produce.v.02', 'metric_ton.n.01', 'last.v.01', 'year.n.03', 'seventh.n.01', 'five-spot.n.03', 'year.n.03', 'growth.n.01', 'plan.v.03', 'ending.n.01', 'master_of_architecture.n.01', 'take.v.39', 'center.n.04', 'metric_ton.n.01', 'target.v.01', 'estimate.v.01', 'production.n.06', 'around.r.07', 'metric_ton.n.01', 'gap.n.05', 'metric_ton.n.01', 'take.v.27', 'stay.v.04', 'trey.n.02', 'year.n.03', 'plan.v.03', 'increasing.a.02', 'texture.n.05', 'output.v.01', 'per_annum.r.01', 'nine.s.01', 'metric_ton.n.01',,'major.n.04', 'stab.n.02', 'program.v.02', 'therefore.r.01', 'well.r.11', 'water_system.n.02', 'irrigation.n.02', 'management.n.02',,,"
20,",'purchase.n.03', 'include.v.03', 'metric_ton.n.01', 'whitethorn.n.01', 'cargo.n.01', 'metric_ton.n.01', 'june.n.01', 'cargo.n.01','price.n.05', 'detail.v.02', 'available.s.03',,"
21,"'argentine.n.01', 'texture.n.05', 'swath.n.02', 'weather.v.04', 'reputation.n.03', 'argentine.n.01', 'texture.n.05', 'swath.n.02', 'temperature.n.02', 'centigrade.a.01', 'rain.v.01', 'millimeter.n.01', 'hours.n.02', 'greenwich_mean_time.n.01', 'soap.n.03', 'temp.n.01', 'minute.n.01', 'temp.n.01', 'rain.n.01', 'vent.v.02', 'arroyo.n.01', 'santa_claus.n.01', 'rosa.n.01', 'cordoba.n.04', 'santa_claus.n.01', 'iron.n.01',"
22,"'yugoslavia.n.02', 'tender.v.04', 'metric_ton.n.01', 'pale_yellow.n.01', 'yugoslavia.n.02', 'tender.v.04', 'april.n.01', 'metric_ton.n.01', 'pale_yellow.n.01', 'uranium.n.01', 'agribusiness.n.01', 'department.n.03', 'counselor.n.02', 'belgrade.n.01', 'suppose.v.01', 'field.n.10', 'reputation.n.03','reputation.n.03', 'go_steady.v.01', 'april.n.01', 'suppose.v.01', 'pale_yellow.n.01', 'harvest.v.02', 'significance.n.02', 'soft.s.10', 'pale_yellow.n.01', 'europe.n.01', 'supplier.n.01', 'view.v.02','suppose.v.01', 'significance.n.02', 'use.v.01', 'rebuild.v.01', 'federal.n.01', 'substitute.n.02', 'solution.n.02', 'subject.n.08', 'significance.n.02', 'surcharge.v.04',,'barley.n.01', 'rebate.v.03', 'european.n.01', 'currentness.n.01', 'whole.n.02', 'metric_ton.n.01', 'try.v.01', 'gamboge.n.02', 'bread.v.01', 'take.v.27', 'pale_yellow.n.01', 'around.r.07', 'tip.v.03', 'pale_yellow.n.01', 'around.r.07','barley.n.01', 'rebate.v.03', 'requested.a.01', 'sum.n.02', 'metric_ton.n.01', 'metric_ton.n.01',,,"
23,"'european_union.n.01', 'empower.v.01', 'export.v.03', 'metric_ton.n.01', 'gamboge.n.02', 'utmost.n.01', 'rebate.v.03', 'metric_ton.n.01', 'trade_wind.n.01', 'source.v.02','european_union.n.01', 'empower.v.01', 'export.v.03', 'metric_ton.n.01', 'gamboge.n.02', 'utmost.n.01', 'rebate.v.03', 'metric_ton.n.01', 'trade_wind.n.01', 'source.v.02',,"
24,"'european_union.n.01', 'empower.v.01', 'export.v.03', 'metric_ton.n.01', 'barley.n.02', 'utmost.n.01', 'rebate.v.03', 'bruxelles.n.01', 'trade_wind.n.01', 'european_union.n.01', 'empower.v.01', 'export.v.03', 'metric_ton.n.01', 'barley.n.02', 'utmost.n.01', 'rebate.v.03', 'bruxelles.n.01', 'trade_wind.n.01',"
